423	51821	295
1949	53433	472
1273	52993	348	
2030	53499	201	
2520	54584	442	
1940	53383	407	
561	52295	618	
1603	53119	558	
453	51915	212	
1427	52996	606	
464	51908	576	
634	52164	430	
2020	53431	614	
2007	53474	171	
916	52378	434	
603	52056	415	
2089	53498	385	
625	52145	288	
436	51883	16	
999	52636	334	
1683	53436	16	
2425	54139	442	
433	51873	422	
465	51910	603	
513	51989	340	
366	52017	584	
329	52056	577	
564	52224	368	
564	52224	471	
753	52233	455	
755	52235	225	
1052	52466	370	
738	52521	95	
993	52710	147	
914	52721	74	
1351	52790	428	
1342	52793	157	
1864	53313	353	
2491	53855	252	
848	52669	418	
555	52266	74	
1371	52821	377	
1844	54138	112	
1417	53141	441	
2783	54524	432	
2641	54230	570	
490	51929	126	
1796	53884	591	
2509	54180	244	
2647	54495	160	
2488	54149	521	
1186	52646	98	
2164	53886	503	
640	52178	513	
2646	54479	204	
2583	54095	615	
2501	54084	120	
2128	53800	415	
2518	54243	374	
413	51929	598	
837	52642	298	
2645	54477	133	
2353	53794	600	
1843	53816	584	
2970	54589	373	
967	52636	44	
767	52252	300	
593	52026	111	
984	52442	383	
1429	52990	584	
2769	54527	354	
2532	54589	90	
2166	54232	30	
2281	53711	431	
2420	54086	240	
597	52059	337	
1598	53033	291	
1237	52762	497	
593	52026	170	
656	52148	282	
461	51910	74	
1750	53358	564	
764	52238	53	
2512	53877	582	
469	51913	238	
892	52378	395	
268	51633	235	
1793	53883	573	
1598	53033	604	
2595	54207	541	
1817	53851	69	
349	51699	613	
2440	53818	539	
1713	53827	63	
567	52252	558	
1690	53475	634	
385	51877	61	
2351	53772	99	
1230	52672	503	
1431	52992	572	
2971	54590	326	
1575	53493	484	
2764	54535	53	
1773	53112	301	
498	51984	104	
411	51817	381	
2034	53466	230	
637	52174	259	
2529	54585	300	
600	52317	490	
1223	52781	625	
551	51993	179	
2478	54097	377	
721	52228	454	
1676	53147	55	
1626	53472	449	
614	53437	452	
1754	53385	324	
2364	53737	469	
2606	54154	614	
1775	53847	420	
1791	54266	46	
2080	53350	309	
2294	53733	607	
1838	53467	451	
2351	53772	616	
1167	52738	476	
1695	53473	612	
1989	53772	559	
1667	53430	114	
2885	54497	561	
2008	53473	615	
2347	53757	326	
2341	53738	66	
1378	53061	413	
1949	53433	437	
1779	53089	106	
1201	52674	225	
752	52251	20	
511	52636	567	
2424	54448	109	
1428	52998	558	
2101	53858	348	
666	52149	24	
628	52083	461	
793	52370	549	
1714	53521	11	
1872	53386	371	
1725	54266	540	
1944	53385	412	
2522	54570	131	
664	52174	455	
939	52636	172	
2347	53757	151	
836	52376	262	
1329	52767	542	
773	52376	629	
1433	53035	148	
2376	53770	497	
2592	54178	153	
1455	53089	584	
899	52620	626	
723	52201	500	
896	52592	63	
597	52059	520	
554	52000	553	
1453	53084	10	
1865	53312	572	
942	52703	488	
897	52605	242	
2222	53799	388	
1847	54176	630	
1807	54175	9	
1364	53061	185	
795	52378	381	
2517	54567	624	
1372	53062	488	
1367	53083	629	
1773	53112	405	
2583	54095	462	
932	52620	110	
2237	53828	93	
1604	53078	281	
2173	53874	354	
408	51821	611	
768	52281	85	
1694	53472	540	
1394	53108	44	
411	51817	519	
1941	53386	545	
653	52145	185	
2106	53714	130	
994	52725	86	
2152	53874	108	
1714	53521	571	
1378	53061	488	
1606	53055	166	
1195	52724	98	
1854	53566	151	
2772	54529	38	
650	52143	126	
1843	53816	8	
1619	53084	60	
722	52224	281	
2023	53851	65	
526	52312	378	
2003	53442	501	
510	52381	509	
2365	53739	591	
2617	54502	287	
666	52149	496	
2526	54582	404	
409	51871	213	
1803	54152	323	
1795	54507	509	
2362	53759	295	
1926	53317	378	
860	52319	583	
2216	53795	298	
1810	53794	504	
2508	53875	353	
1744	53055	387	
1271	52974	462	
1214	52731	160	
2493	54115	278	
1735	53035	322	
1218	52709	201	
1457	53116	421	
607	52368	581	
767	52252	453	
2102	54115	18	
2352	53770	242	
507	52353	161	
2613	54481	620	
976	52413	574	
814	52443	467	
2265	53674	87	
1645	53172	526	
2615	54483	404	
987	52523	157	
792	52353	116	
2744	54272	535	
1728	53228	218	
1716	53827	350	
2007	53474	226	
827	52312	621	
882	52370	376	
1199	52703	596	
1402	52872	594	
1446	53080	135	
2615	54483	257	
594	52045	73	
2276	53712	508	
1845	54144	637	
1362	53050	119	
596	52370	483	
2151	54523	527	
1215	52725	150	
1224	52765	379	
1843	53816	502	
856	52339	50	
1440	53084	137	
941	52709	616	
2233	53845	196	
1592	52990	18	
2795	54563	140	
2428	53801	356	
489	51930	402	
795	52378	528	
1214	52731	77	
1005	52703	518	
402	51793	479	
2242	54153	199	
1004	52723	280	
1310	53033	559	
1380	53084	58	
1054	52516	309	
2492	54178	562	
2955	54562	608	
353	51703	546	
644	52173	413	
1432	53003	91	
741	52261	116	
1171	52753	416	
2774	54534	51	
2485	54176	231	
2292	53713	348	
