#Table1
plate,mjd,fiberid,z,subclass,e_bv_sfd,h_beta_flux,h_beta_eqw,oiii_h_beta_flux_ratio,oiii_h_gamma_flux_ratio,h_beta_h_gamma_flux_ratio
300,51666,135,0.5997746,BROADLINE,0.03940573,2747.576,-21.37659,0.3988629,0.8740907,2.191457
412,52258,129,0.08017637,BROADLINE,0.06504875,2925.605,-12.63087,0.559593,1.125262,2.010858
554,52000,553,0.4736708,BROADLINE,0.02523354,961.0248,-8.415974,1.069571,1.917614,1.792881
555,52266,74,0.4688599,BROADLINE,0.02161665,552.9328,-10.00354,0.6370804,1.368653,2.14832
1012,52649,74,0.1027759,BROADLINE,0.01297909,3461.101,-22.34332,0.7229698,1.699948,2.35134
1847,54176,630,0.4473778,BROADLINE,0.02485514,1699.505,-13.29521,0.4833947,1.049325,2.170741
1848,54180,390,0.2308216,BROADLINE,0.04131947,969.6373,-7.999559,0.3264846,0.6215349,1.903719
1951,53389,614,0.07885244,STARBURST BROADLINE,0.01104522,8040.256,-20.80499,0.6073617,1.494997,2.461461
2882,54498,437,0.2251655,BROADLINE,0.009952372,1074.858,-12.56096,0.3640934,0.7527382,2.067431
2883,54525,524,0.09967799,STARBURST BROADLINE,0.01186498,4169.275,-27.72459,3.567403,6.47721,1.815665
556,51991,472,0.1158406,BROADLINE,0.01903846,457.6127,-5.153967,1.029028,1.424888,1.384693
740,52263,549,0.2349658,STARBURST BROADLINE,0.05002049,802.0439,-9.961286,1.671452,2.721861,1.628441
902,52409,134,0.0563294,STARBURST BROADLINE,0.0146779,2322.049,-20.472,1.28257,3.045658,2.374651
1309,52762,443,0.05126621,STARBURST BROADLINE,0.01942769,1218.343,-11.11801,0.9567834,1.903035,1.988993
1440,53084,204,0.1548114,STARBURST BROADLINE,0.01640413,3967.237,-19.68156,0.2134766,0.4336566,2.031401
1467,53115,216,0.3228939,STARBURST BROADLINE,0.0104667,3176.712,-10.66139,0.1779074,0.3657872,2.056054
1510,52992,178,0.2617091,STARBURST BROADLINE,0.02895342,1427.624,-12.41355,0.5382443,1.154965,2.145801
1791,54266,46,0.4389866,BROADLINE,0.02399247,1027.594,-17.74196,0.3758007,0.8569891,2.280435
1820,54208,13,0.3068048,STARBURST BROADLINE,0.06355516,1575.622,-16.62766,3.000192,6.199072,2.066225
2147,53491,605,0.1444477,BROADLINE,0.02831765,686.9014,-8.880097,0.6052293,1.13987,1.883369
2222,53799,453,0.05897063,STARBURST BROADLINE,0.02191551,2150.045,-18.73977,0.4123738,0.7871025,1.908711
2227,53820,85,0.3244995,AGN BROADLINE,0.02124372,929.8518,-16.77513,0.2414045,0.5159202,2.137161
2345,53757,522,0.3291404,STARBURST BROADLINE,0.02198753,3635.021,-18.14079,0.196285,0.4378586,2.230729
2594,54177,622,0.05681,,0.02510186,51.77808,-0.6261827,0.8090133,0.8952849,1.106638
403,51871,550,0.1634896,BROADLINE,0.02893843,3367.793,-15.5128,1.306235,2.322533,1.778036
650,52143,279,0.07390003,STARBURST BROADLINE,0.03201083,2517.656,-19.92488,2.542713,5.163361,2.03065
656,52148,282,0.4236842,BROADLINE,0.02947504,1365.047,-12.31159,0.3461726,0.7257633,2.096536
974,52427,4,0.2075965,STARBURST BROADLINE,0.02800488,1538.251,-8.412434,0.6764649,1.16188,1.717576
1277,52765,332,0.2055347,BROADLINE,0.01941598,1431.322,-10.36662,0.5995306,1.084898,1.80958
2151,54523,395,0.0572172,,0.02682822,52.07384,-0.387391,0.2124826,0.2593757,1.220691
2613,54481,342,0.06355042,AGN BROADLINE,0.02681515,3590.22,-11.70968,1.093161,1.994401,1.824435
2771,54527,419,0.2610683,BROADLINE,0.02582617,1618.641,-14.25335,0.2434501,0.515521,2.117563
2774,54534,430,0.1098744,BROADLINE,0.0324995,1842.363,-5.147871,0.8757405,1.063705,1.214635
490,51929,412,0.3402001,BROADLINE,0.01523073,565.5311,-10.70056,0.4397671,0.821164,1.86727
526,52312,537,0.2688896,BROADLINE,0.02380977,1217.897,-9.82467,1.205106,2.358663,1.957225
644,52149,549,0.05896524,BROADLINE,0.03713184,41.12915,-0.4715015,2.222996,11.43099,5.142156
1415,52885,144,0.1534853,STARBURST BROADLINE,0.05673105,5517.438,-27.59008,2.055553,4.428579,2.154447
1610,53144,249,0.1756542,BROADLINE,0.02661542,1434.56,-9.266861,0.6838572,1.19628,1.749313
1792,54270,260,0.374943,BROADLINE,0.02854615,435.5359,-5.250967,0.1460422,0.2155358,1.475846
1795,54507,457,0.153836,STARBURST BROADLINE,0.03453428,4630.266,-13.55527,1.166074,2.131139,1.827619
1806,53559,477,0.06568477,,0.03171784,21.2979,-0.2575647,1.465687,23.14205,15.78922
2121,54180,459,0.341655,STARBURST BROADLINE,0.015595,2016.253,-23.85095,0.4233499,0.9805952,2.316276
2341,53738,575,0.05196881,,0.02441659,23.66694,-0.3344702,0.6778576,0.5013244,0.7395718
2729,54419,574,0.4709734,BROADLINE,0.04612916,208.7716,-6.567808,2.472225,3.909592,1.581406
2770,54510,433,0.1965366,STARBURST BROADLINE,0.02233633,4131.215,-18.49032,0.2777563,0.6814605,2.453447
2972,54586,148,0.08366632,STARBURST BROADLINE,0.03013047,3610.479,-28.1305,0.6722247,1.751991,2.606258
644,52149,413,0.589685,BROADLINE,0.04080473,1016.764,-13.25017,0.5137521,1.192014,2.320213
709,52205,637,0.1074433,STARBURST BROADLINE,0.08312996,1563.225,-20.80502,0.7876948,1.505797,1.91165
833,52314,615,0.2399645,BROADLINE,0.01753805,1138.498,-8.113574,0.3836562,0.6898571,1.798113
1437,53046,418,0.4016196,BROADLINE,0.01033095,1587.083,-14.75318,0.1289817,0.279444,2.166539
1803,54152,577,0.05455149,,0.02437059,35.12908,-0.566705,0.5046977,1.502971,2.977962
1810,53794,504,0.4596158,BROADLINE,0.02485074,1133.808,-14.90093,0.2570447,0.6261491,2.435954
2289,53708,130,0.1926965,BROADLINE,0.04243698,1327.595,-4.454331,0.5554662,0.5994757,1.07923
328,52282,575,0.1051187,STARBURST BROADLINE,0.01900618,2409.637,-27.60482,0.2684556,0.573502,2.136301
412,52250,131,0.08018456,BROADLINE,0.06504875,2970.731,-12.707,0.5689945,1.149079,2.019491
464,51908,460,0.0661956,,0.1023146,32.94079,-0.4531893,1.169414,1.5911,1.360596
960,52425,214,0.1238792,BROADLINE,0.008508174,1209.838,-14.37984,0.3860639,0.9691976,2.510459
963,52643,545,0.2858998,STARBURST BROADLINE,0.01648002,2536.629,-11.2408,0.8719287,1.818081,2.085126
976,52413,574,0.4689836,BROADLINE,0.03079161,1784.66,-20.90205,0.1869689,0.4386216,2.345961
1177,52824,319,0.05247626,,0.03350921,94.42793,-0.7017177,0.3964647,0.4465646,1.126366
1585,52962,477,0.2823286,BROADLINE,0.03928971,1308.529,-15.28489,3.373863,6.644434,1.969385
1726,53137,566,0.1918546,BROADLINE,0.03961959,767.5447,-6.32075,0.4303851,0.6683153,1.552831
1736,53052,620,0.1921579,BROADLINE,0.04424216,1240.722,-11.43168,2.496204,4.394172,1.760341
