#Table1
plate,mjd,fiberid,z,subclass,e_bv_sfd,h_beta_flux,h_beta_eqw,oiii_h_beta_flux_ratio,oiii_h_gamma_flux_ratio,h_beta_h_gamma_flux_ratio
1224,52765,379,0.5228383,BROADLINE,0.04002199,1333.446,-12.69335,0.3398808,0.9305261,2.737802
411,51817,381,0.5324706,BROADLINE,0.08810838,1313.903,-10.74767,0.4205669,1.289833,3.066892
2347,53757,151,0.5113347,BROADLINE,0.02648882,1452.441,-16.70732,0.6893487,1.492386,2.164921
1716,53827,350,0.5008188,BROADLINE,0.03326718,798.7177,-9.304626,0.9021373,1.71744,1.903746
2520,54584,442,0.4358573,BROADLINE,0.05334958,178.4678,-11.22126,3.537334,6.07903,1.718534
555,52266,74,0.4688599,BROADLINE,0.02161665,552.9328,-10.00354,0.6370804,1.368653,2.14832
976,52413,574,0.4689836,BROADLINE,0.03079161,1784.66,-20.90205,0.1869689,0.4386216,2.345961
2034,53466,230,0.5083145,BROADLINE,0.02323727,2134.027,-10.54055,0.3777993,0.9968096,2.638463
1810,53794,504,0.4596158,BROADLINE,0.02485074,1133.808,-14.90093,0.2570447,0.6261491,2.435954
1843,53816,584,0.4980763,BROADLINE,0.01577194,557.34,-12.03965,0.4476209,1.072644,2.396323
2173,53874,354,0.4557629,BROADLINE,0.05542863,509.9599,-11.65119,0.6451375,1.609646,2.495043
640,52178,513,0.4174148,BROADLINE,0.09496573,952.4866,-10.36639,0.3341854,0.5882106,1.760133
1844,54138,112,0.5256413,BROADLINE,0.02177914,717.105,-6.350803,0.5879771,1.071625,1.822562
793,52370,549,0.513281,BROADLINE,0.01412164,481.7625,-8.881385,0.7883095,2.122867,2.692936
1949,53433,472,0.5306148,BROADLINE,0.01484899,1219.554,-9.254515,2.822379,4.122338,1.46059
402,51793,479,0.5524943,BROADLINE,0.03973217,1318.962,-11.35889,0.307347,0.7138805,2.322718
1791,54266,46,0.4389866,BROADLINE,0.02399247,1027.594,-17.74196,0.3758007,0.8569891,2.280435
1694,53472,540,0.5119441,BROADLINE,0.0279867,1848.843,-16.54789,0.2110908,0.6078568,2.879598
721,52228,454,0.502505,BROADLINE,0.05165878,574.8325,-20.61713,0.4051845,0.9839695,2.428448
329,52056,577,0.4580766,BROADLINE,0.02008798,1135.089,-15.52481,0.721276,1.458682,2.022363
464,51908,576,0.5702274,BROADLINE,0.0965671,367.0603,-3.915135,0.4052001,0.4592269,1.133334
554,52000,553,0.4736708,BROADLINE,0.02523354,961.0248,-8.415974,1.069571,1.917614,1.792881
2425,54139,442,0.5659922,BROADLINE,0.04197626,422.1902,-7.778267,1.199032,1.931223,1.610652
2512,53877,582,0.5215923,BROADLINE,0.04497579,673.3281,-6.979514,0.4139671,0.9204111,2.223392
1847,54176,630,0.4473778,BROADLINE,0.02485514,1699.505,-13.29521,0.4833947,1.049325,2.170741
561,52295,618,0.4208928,BROADLINE,0.01354015,625.7569,-8.85923,3.467889,6.112846,1.7627
1773,53112,301,0.4975437,BROADLINE,0.02385371,651.824,-6.771779,0.9197367,1.21164,1.317378
408,51821,611,0.5689139,BROADLINE,0.03383083,927.9932,-11.62149,1.298259,2.755408,2.122388
939,52636,172,0.4219211,BROADLINE,0.01403132,575.824,-5.977588,0.5175255,0.8794833,1.699401
607,52368,581,0.5525806,BROADLINE,0.01419172,567.0939,-11.73849,0.4498428,1.061532,2.359785
795,52378,528,0.5607508,BROADLINE,0.01193781,625.2177,-12.8672,0.4668604,0.8818083,1.888805
268,51633,235,0.595322,BROADLINE,0.03354528,677.1182,-9.859278,0.4154737,1.334858,3.212858
2645,54477,133,0.4930311,BROADLINE,0.02225282,937.1426,-14.06366,0.7994121,1.96633,2.459721
1754,53385,324,0.4343848,BROADLINE,0.03020268,1279.667,-15.685,0.646228,1.482974,2.294816
2646,54479,204,0.4338264,BROADLINE,0.02289122,1557.825,-9.889492,0.1564952,0.2995124,1.913876
2526,54582,404,0.4583784,BROADLINE,0.05439631,965.0396,-11.94227,0.3373327,0.6804778,2.017231
498,51984,104,0.4614837,BROADLINE,0.01426796,462.6565,-10.74795,0.5001677,1.173522,2.346257
2606,54154,614,0.552017,BROADLINE,0.02188222,1450.117,-9.709053,0.2476668,0.4893284,1.975753
856,52339,50,0.4271503,BROADLINE,0.03264315,2298.788,-19.17619,0.3084432,0.7104521,2.303349
897,52605,242,0.5136945,BROADLINE,0.03365997,1483.066,-16.58844,0.1680855,0.372335,2.215153
637,52174,259,0.5993487,BROADLINE,0.07477354,3992.194,-11.40223,0.2523734,0.5993569,2.374881
465,51910,603,0.5496119,BROADLINE,0.0680838,799.0661,-11.59554,3.92246,7.667851,1.954858
564,52224,471,0.5112072,BROADLINE,0.03008878,2766.907,-16.15146,0.1912216,0.4443092,2.323531
656,52148,282,0.4236842,BROADLINE,0.02947504,1365.047,-12.31159,0.3461726,0.7257633,2.096536
1592,52990,18,0.5841894,BROADLINE,0.01962814,459.9291,-6.518604,0.7617553,1.164088,1.528165
767,52252,300,0.5540618,BROADLINE,0.01614243,934.5037,-8.894829,0.2535838,0.3946598,1.556329
644,52173,413,0.5896417,BROADLINE,0.04080473,1035.502,-12.73695,0.5348418,1.2877,2.407628
