,plate,mjd,fiberid,class,subclass,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw,nii_6584_eqw
0,266,51630,151,b'GALAXY',b'STARBURST',0.05248393,1031.952,218.4372,145.1758,284.6306,36.25033,133.5714,107.7979,-47.20582,-13.38404
1,266,51602,439,b'GALAXY',b'STARFORMING',0.02524963,361.8823,62.27009,49.50208,196.5373,20.22365,85.68478,58.60144,-9.004434,-5.064639
2,267,51608,229,b'GALAXY',b'STARBURST',0.0371546,732.1072,147.4689,68.83253,215.644,16.31324,142.4632,101.7864,-50.48171,-14.81608
3,268,51633,38,b'GALAXY',b'',0.03283051,151.1079,45.61246,95.64,146.4963,38.41273,53.4021,49.65108,-2.315518,-2.076739
4,268,51633,348,b'GALAXY',b'STARBURST',0.05736349,235.4645,71.243,90.98298,44.31968,7.145281,54.01042,34.26589,-45.68194,-8.963382
5,268,51633,516,b'GALAXY',b'STARFORMING',0.03265744,230.2115,72.12334,83.65878,45.74789,9.351771,53.76291,40.8898,-23.6786,-4.462362
6,269,51910,498,b'QSO',b'',0.1227516,207.2204,35.03456,417.6251,204.4124,30.8359,35.48033,33.33672,-13.08108,-12.17849
7,269,51910,576,b'GALAXY',b'STARFORMING',0.04705122,770.6807,175.8909,44.0558,274.0989,15.43876,130.4917,91.85715,-43.75001,-15.25648
8,270,51909,172,b'GALAXY',b'STARFORMING',0.06949116,98.82668,19.11937,9.671737,46.07165,7.919681,24.3009,18.52656,-11.18985,-5.328192
9,270,51909,477,b'GALAXY',b'STARBURST',0.09241752,343.7934,87.65579,31.25239,126.1047,14.81628,72.06064,57.42749,-38.22985,-14.23875
10,270,51909,614,b'GALAXY',b'STARFORMING',0.1297009,249.0042,48.81063,40.1546,137.401,18.11111,67.50287,60.22765,-13.63911,-7.60388
11,271,51883,217,b'GALAXY',b'STARBURST',0.06045667,619.0553,142.59,52.43863,247.1728,16.54991,109.1012,77.6297,-46.5448,-18.86506
12,271,51883,372,b'GALAXY',b'AGN',0.1202189,1598.164,448.2043,4045.211,676.4777,231.2107,491.397,385.0465,-79.11091,-34.34536
13,273,51957,450,b'GALAXY',b'STARBURST',0.1274085,590.4929,123.8487,249.1987,345.9718,27.22977,106.2446,95.62553,-41.57747,-24.12851
14,274,51913,214,b'GALAXY',b'STARFORMING',0.08751033,209.5245,35.75175,17.13272,101.1173,8.554959,41.69159,35.65967,-16.9976,-8.218009
15,274,51913,336,b'GALAXY',b'STARFORMING',0.06089189,191.0509,39.54474,15.06595,77.15327,7.931398,47.85304,34.28198,-16.09553,-6.537997
16,275,51910,84,b'GALAXY',b'STARFORMING',0.08623032,250.7644,63.9893,28.91796,141.3794,12.05745,55.29694,42.43782,-16.36414,-9.392373
17,275,51910,275,b'GALAXY',b'STARBURST',0.1067032,816.6388,191.2365,222.463,494.0532,34.15618,135.1958,115.0331,-46.07128,-27.12671
18,275,51910,622,b'GALAXY',b'STARBURST',0.05060999,3120.461,671.2663,261.8392,1094.183,72.21241,552.294,415.5394,-67.96824,-23.71755
19,276,51909,112,b'GALAXY',b'STARBURST',0.03807046,240.3609,71.86121,128.7973,31.95925,7.508173,45.38154,31.36673,-41.15493,-5.676023
20,276,51909,261,b'GALAXY',b'STARBURST',0.07181372,450.7692,125.9873,120.4111,112.2177,20.67344,90.45093,63.38084,-47.01618,-11.63315
21,276,51909,315,b'GALAXY',b'STARBURST',0.06309882,252.4125,72.75274,388.8769,10.79843,3.831797,17.76421,12.66994,-149.5112,-5.388326
22,276,51909,457,b'GALAXY',b'STARFORMING',0.03902899,883.7012,150.0346,29.97914,356.4453,18.85187,131.9901,100.0182,-31.64275,-12.43334
23,277,51908,120,b'GALAXY',b'STARBURST',0.08585819,1610.199,307.9782,87.74332,673.4045,31.67115,237.2219,185.8221,-58.19164,-24.35216
24,277,51908,261,b'GALAXY',b'STARBURST',0.07567391,484.5446,109.0405,38.48495,157.4685,14.5787,89.81451,63.53024,-46.66615,-15.6408
25,277,51908,543,b'GALAXY',b'STARBURST',0.09544819,205.0075,57.93101,76.99652,35.27833,6.903555,43.2227,28.96266,-41.22667,-7.076165
26,277,51908,627,b'GALAXY',b'STARBURST',0.01858409,2200.718,692.0682,1376.974,298.8018,32.0036,311.7853,222.2074,-94.22059,-12.7059
27,278,51900,606,b'GALAXY',b'STARFORMING',0.0979054,403.1028,70.43414,23.53166,133.8707,13.30146,76.238,54.61893,-31.27425,-10.73287
28,279,51984,217,b'GALAXY',b'AGN',0.06885027,344.0781,86.04197,282.6064,177.8517,26.88362,117.6391,82.69806,-12.45804,-6.47286
29,279,51608,262,b'GALAXY',b'STARBURST',0.07232233,498.893,168.9236,207.2639,98.68423,18.21896,97.08232,65.03766,-63.37737,-12.53808
30,279,51608,459,b'GALAXY',b'STARBURST',0.07722676,285.0537,86.80492,63.53054,71.5192,11.52328,52.16829,43.56763,-41.63446,-11.25322
31,279,51984,459,b'GALAXY',b'AGN',0.1406462,391.9978,94.71085,361.9707,383.671,29.7059,80.59198,77.72787,-34.22037,-30.30939
32,279,51608,626,b'GALAXY',b'STARFORMING',0.02434141,891.6522,157.4333,46.0198,319.5544,23.49608,127.4966,84.3379,-18.95075,-6.840737
33,280,51612,318,b'GALAXY',b'STARBURST',0.07289648,1134.873,255.6057,105.8254,369.3793,21.07752,168.1523,135.6746,-111.801,-36.25047
