,plate,mjd,fiberid,z,subclass,e_bv_sfd,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,neiii_3869_flux,oii_3726_flux,oii_3729_flux,h_alpha_eqw,nii_6584_eqw,psfMag_g,psfMag_z
0,2870,54534,454,0.07099443,b'STARBURST',0.0264591,1925.014,564.3949,1150.379,226.1656,53.90632,261.8838,189.4864,86.83601,808.5032,853.7686,-267.6758,-31.64621,19.6244,20.46412
1,2886,54498,636,0.06442305,b'STARFORMING',0.02696261,409.7917,84.79642,190.8167,204.8576,17.7348,79.25798,50.73198,15.20359,51.6023,31.34161,-14.94207,-7.255168,18.68949,17.08159
2,2866,54478,544,0.1671709,b'BROADLINE',0.02432509,273.1649,108.8602,290.7308,48.959,27.56726,57.03524,53.31462,25.48325,121.7389,73.31001,-24.26218,-4.779176,19.07868,18.07804
3,2881,54502,555,0.04410564,b'STARFORMING',0.01418948,1439.767,456.5957,515.1502,740.45,59.80535,290.0414,230.0222,82.92945,489.27,375.5525,-39.86195,-20.87601,17.48463,16.57748
4,2881,54502,550,0.0418677,b'STARBURST',0.01436646,2849.802,877.0007,1384.571,640.8977,65.32603,380.1765,286.8201,103.8988,1552.688,1311.61,-130.4256,-29.41751,17.76833,17.33243
5,2884,54526,632,0.0434311,b'STARFORMING',0.0225425,402.7454,114.3083,134.9589,142.7017,112.1232,137.5417,121.4751,28.8277,180.0254,161.5343,-11.46171,-4.593845,18.33297,16.81609
6,2877,54523,344,0.07072592,b'STARBURST',0.02387815,514.3557,150.2069,552.2563,30.12813,15.58409,58.98996,41.2045,38.00206,165.976,207.8055,-208.5198,-13.26989,20.12269,19.85283
7,2881,54502,560,0.1060317,b'STARFORMING',0.01392988,712.7845,186.894,84.47395,353.1,21.63913,102.0182,77.95173,24.92103,110.6376,129.6557,-25.06437,-12.75168,18.02936,16.97169
8,2881,54502,502,0.04850049,b'STARBURST',0.01289294,1265.146,350.6737,267.1725,339.7305,26.28207,209.4465,156.9577,23.60955,513.9471,567.1993,-82.17314,-21.73854,18.43466,17.85204
9,2886,54498,378,0.03196504,b'STARBURST',0.02890539,704.5748,207.4129,492.5931,66.08968,23.38844,107.7763,73.49147,38.01794,310.4553,364.149,-51.89543,-5.245405,18.6971,18.19043
