line,position
[FeVII],3758.92
[FeV],3839.27
[FeV],3891.28
[FeV],3911.33
[FeV],4071.24
[FeV],4180.6
[FeV],4227.19
[ArXIV],4412.3
FeXI,4567.4697
FeIX,4588.5537
[FeIII],4658.05
[FeVII],4698.24
[ArIV],4711.26
[ArIV],4740.12
[FeVII],4893.37
[FeIV],4903.07
[FeVII],4942.48
[FeIII],5084.77
[FeVI],5145.75
[FeVII],5158.89
[FeVI],5176.04
[FeV],5236.06
[FeXIV],5302.86
[FeVI],5335.18
[FeVI],5424.22
ArX,5535.5591
FeX,5538.939
[FeVI],5637.6
[FeVI],5677.0
[FeVII],5720.7
ArXV,5945.314
[FeVII],6087.0
[FeX],6374.51
[ArV],6435.1
ArXI,6918.021
[ArV],7005.87
FeXIX,7046.7324
FeXV,7062.147
[ArIII],7135.79
[ArIV],7170.62
[ArIV],7237.26
[ArIV],7262.76
[ArIII],7751.06
[FeXI],7891.8
