ime,wav,Int
a2D2,3720.174,0.102651351174556
a2D2,3779.576,0.378667664045415
a2D2,3798.597,0.191184311036592
a2D2,3833.013,0.0902481500356088
a2D2,3896.103,0.191237331784476
a2D2,4075.954,1.0
a2D2,4119.524,0.0293263035856232
a2D2,4124.787,0.15227352898307
a2D2,4177.692,0.428705891482186
a2D2,4183.2,0.0290465665641054
a2D2,4258.34,0.161488188822859
a4G,5197.577,0.6222676356948
a4G,5234.625,0.697586082230657
a4G,5254.929,0.0464571702094092
a4G,5264.812,0.0845821317329253
a4G,5276.002,0.931481459240125
a4G,5316.615,1.0
a4G,5316.784,0.0970890989837722
a4G,5325.553,0.0753453438954947
a4G,5337.732,0.0382085799407576
a4G,5362.869,0.377660322441093
a4G,5414.073,0.0411857576664193
a4G,5425.257,0.0768178589774514
a4G,5932.055,0.0011923470457889
a4G,5991.376,0.0224602637350248
a4G,6084.111,0.0118256804034723
a4G,6113.322,0.0051339388795077
a4G,6116.057,0.0014884024440448
a4G,6129.703,0.0016738164246278
a4G,6150.098,0.0012964856884857
a4H,4278.159,0.448482722151923
a4H,4314.31,1.0
a4H,4332.881,0.0548887155976696
a4H,4338.703,0.233184897769528
a4H,4372.222,0.125264822132246
a4H,4384.319,0.974084134761932
a4H,4413.601,0.407355685993273
a4H,4825.736,0.0474555851034839
a4H,4833.197,0.0517690947254964
a4H,4839.998,0.0384166402968725
a6S,4593.827,0.0003510462870702
a6S,4601.378,0.0010977661470329
a6S,4656.981,0.0069019009832047
a6S,4663.708,0.0044585239993465
a6S,4731.453,0.0353700207911316
a6S,4923.927,0.809922333655896
a6S,5018.44,1.16980896258455
a6S,5169.033,1.0
a6S,5256.938,0.0016374925297253
a6S,5284.109,0.0219850030024332
a6S,6369.462,0.0014746091733911
a6S,6432.68,0.0051340332014925
a6S,6516.08,0.009205641838762
b2H,5432.967,0.167040523092599
b2H,5525.125,0.0810884723292422
b2H,5534.847,1.0
b2H,5591.368,0.0145145508174638
b2H,6269.967,0.0160287072183434
b4D,6147.741,0.238037809061446
b4D,6149.258,0.236235064724525
b4D,6238.392,0.290613095044604
b4D,6239.953,0.0450830879349907
b4D,6247.557,0.578672010570595
b4D,6407.251,0.0243209274003447
b4D,6416.919,0.220321593717022
b4D,6456.383,1.0
b4D,7181.232,0.011434830092897
b4D,7222.394,0.0554582664234037
b4D,7224.487,0.062459291455823
b4D,7289.045,0.0219227115443624
b4D,7301.56,0.0032709874845263
b4D,7308.073,0.10392683923134
b4D,7310.216,0.0472421140486294
b4D,7320.654,0.0652328340339745
b4D,7352.699,0.0012722046115581
b4D,7449.335,0.0521150811779208
b4D,7462.407,0.194406332063736
b4D,7479.693,0.0271387925742952
b4D,7515.831,0.0381405296665678
b4D,7533.367,0.0104831647330938
b4D,7655.488,0.0288111538935894
b4D,7711.723,0.287066639223895
b4D,7841.388,0.018692245726865
b4F,4088.755,0.0013300587361097
b4F,4138.405,0.002996222805867
b4F,4472.929,0.0357588327715555
